comment,date,support_number,user
为什么不以暴制暴，虽然可能性不大，但是这样是不是有点太…… 对我们这些遵纪守法的公民太不公平了,今天 17:55 来自网页    ,0,白露为喵
讲一个笑话,今天 17:52 来自网页    ,14,撩鱼羊技
讲一个笑话,今天 17:52 来自网页    ,14,撩鱼羊技
香港人,今天 17:52 来自网页    ,1,神奇鸨贝
头骨骨折，废青下狠手了,今天 17:52 来自网页    ,0,两个很圆的甜甜圈儿
这个小哥哥真的太惨了,今天 17:51 来自网页    ,0,你只是个敷衍
看过视频，真的气人😡,今天 17:51 来自网页    ,0,Alin_要努力
快来接受教育吧,今天 17:50 来自网页    ,3,彭冠英今天出圈了吗
暴戾恣睢的暴徒,今天 17:50 来自网页    ,1,QZLGD2016
港生建议来之前由当地警方和主管部门出具一份类似内地的『无违法犯罪记录证明』，再审查其社交媒体上言论的政治倾向！放进来也行。那就请体验一下我们内地学生们对您们对你们这些尊贵的『大英子民』们的欢迎方式，,今天 17:49 来自网页    ,4,丑龍貓
前几天有一个这样的微博就被删了，我还转了,今天 17:49 来自网页    ,0,蓝酱油guai
暴徒！！！,今天 17:47 来自网页    ,1,饼了个干儿
 ,今天 17:47 来自网页    ,0,_饭小小锦鲤
回复 ,今天 17:47 来自网页    ,7,熹微旧梦
太恐怖了。。。,今天 17:46 来自网页    ,2,瘫在床上的咸鱼
真的不敢再去香港了,今天 17:45 来自网页    ,0,窦是你你你
从小学就来最好！，不行就高中，最早最好！！！,今天 17:43 来自网页    ,0,Huifeidemanyu
要尽快好起来，早日康复啊！,今天 17:43 来自网页    ,0,Amireux-Serendipity
可怕,今天 17:39 来自网页    ,1,溪石风铭
有理打人没脸露脸了？,今天 17:38 来自网页    ,0,野樱·
都这个时候来居然不知道香港暴乱,今天 17:38 来自网页    ,2,清水又白钰520china安
希望大家不要被带节奏了。,今天 17:37 来自网页    ,0,小池子爱吃榴莲
看见这帮黑衣人真鸡儿想打爆他们狗头 真她妈给中国人丢脸噢忘了你们好像说自己不是中国的你他妈对得起身上留得中华民族的血脉吗对得起千千万万为香港和平付诸一切的人民吗你们这帮港渣  打大陆的算什么东西 这么喜欢反派反中华人民共和国 既然不想待请你们不要拿着身上的中华血液开玩笑,今天 17:36 来自网页    ,0,Michelle_____Li
头皮发麻 一阵阵的的发寒…,今天 17:36 来自网页    ,0,o陈韵o
太丧心病狂了吧，那些打人的废青就是魔鬼,今天 17:36 来自网页    ,0,er姑凉
太可恨了,今天 17:35 来自网页    ,0,闲鱼放生
谁来赔偿？,今天 17:35 来自网页    ,2,Xuchunqing
恐怖😱,今天 17:34 来自网页    ,0,羡在云深不知处
必须转起来,今天 17:34 来自网页    ,0,我是褚二美
枪毙这些人，这些暴徒真是不配为人！,今天 17:33 来自网页    ,62,茶馆喇叭裤
香港的戴口罩的你不受中国保护你早就不在了吧，还有脸出来和中国对抗，收人家钱做这种事还配得起你们这个血缘吗！,今天 17:32 来自网页    ,0,韎姿掜
香港人来内地我们也打吧,今天 17:32 来自网页    ,0,Jeaseni
真的好闹心,今天 17:31 来自网页    ,0,张以安Baby
望早治理，加强防暴,今天 17:31 来自网页    ,0,秋天乙
友情提醒下，赴内地读书的港生也注意安全，别装逼，真容易被…,今天 17:31 来自网页    ,1,剑仙左右丶
希望早上安稳,今天 17:31 来自网页    ,1,ummm中一
说杨先生是中国人就要打，这些人是连自己种都忘了,今天 17:31 来自网页    ,0,太阳系外行星46025
哦,今天 17:31 来自网页    ,1,我是一枝鱼
残忍,今天 17:31 来自网页    ,1,万年长一个
可恶,今天 17:31 来自网页    ,0,小緈諨219
太好了,今天 17:31 来自网页    ,1,诡谲天下第一
太可恶啦,今天 17:31 来自网页    ,0,嬛嬛嬛嬛
恩,今天 17:31 来自网页    ,1,一路向前方法
🙏🙏🙏,今天 17:31 来自网页    ,0,阿华养的猪
哎,今天 17:31 来自网页    ,2,小宇昊SVIP
哎,今天 17:31 来自网页    ,2,小宇昊SVIP
唉😔,今天 17:31 来自网页    ,0,屈洼李美好耶
完全割裂也没好处啊，那么大块地也不能说不要就不要,今天 17:29 来自网页    ,17,一杯四季春不加糖
为了安全，不要拍摄他们为好啊,今天 17:29 来自网页    ,0,TTTTTmomo
这是去旅游的吗？,今天 17:29 来自网页    ,0,XUNX7788
这是去旅游的吗？,今天 17:29 来自网页    ,0,XUNX7788
卧槽可怕,今天 17:29 来自网页    ,0,大博哥学习去了
希望早日香港安宁,今天 17:28 来自网页    ,0,美丽季节3301
希望香港早日恢复安稳,今天 17:28 来自网页    ,0,思静梵音
这些人真可恶,今天 17:28 来自网页    ,0,只用华为12138
太可恶了吧,今天 17:28 来自网页    ,0,鑫鑫哥儿
彻底整治,今天 17:28 来自网页    ,0,苍穹之光束
香港还咁乱,今天 17:28 来自网页    ,1,一生轨迹
太可怕了,今天 17:28 来自网页    ,0,爱吃草莓的仙女
有心人,今天 17:28 来自网页    ,1,诡谲天下第一
嗯嗯,今天 17:28 来自网页    ,0,潘洋150
不错,今天 17:28 来自网页    ,1,流川枫在路上
严惩,今天 17:28 来自网页    ,1,自种农产品3
太可怕了,今天 17:28 来自网页    ,0,李凡呀-
这件事让我看到了恶臭  追了好多天了 没有一点声响,今天 17:26 来自网页    ,0,福妹wy
给好处解决不了问题，希望领导可以认识到这早就不是简单的经济下滑、公屋带来的恶果，而是有组织的独立运动,今天 17:26 来自网页    ,0,西塞罗说
我被那个钩子吓到了,今天 17:26 来自网页    ,0,吃面观众
给好处解决不了问题，希望领导可以认识到这早就不是简单的经济下滑、公屋带来的恶果，而是有组织的独立运动,今天 17:26 来自网页    ,0,西塞罗说
我被那个钩子吓到了,今天 17:26 来自网页    ,0,吃面观众
天呐……,今天 17:26 来自网页    ,0,我喝桃汁儿
某央的新闻看看就好，其实香港人真的仇视大陆人…去香港真的有生命危险,今天 17:26 来自网页    ,1,CHU-aduuuuuu
香港是全中国人的香港 不是香港人的香港,今天 17:26 来自网页    ,0,123天气123
小智？？？？,今天 17:26 来自网页    ,0,我知时间白云苍驹
dd,今天 17:26 来自网页    ,1,西塞罗说
希望国家信任国人阿 不要老什么都不报道,今天 17:25 来自网页    ,0,LT心晴
支持港警,今天 17:25 来自网页    ,0,半染成殇t
早日康复，,今天 17:25 来自网页    ,1,思念几万里70978
可怕,今天 17:25 来自网页    ,0,遇见鹿小果
希望早日康复,今天 17:25 来自网页    ,0,爱吃草莓的仙女
太恐怖了,今天 17:25 来自网页    ,0,沫沫雨啊
早日恢复,今天 17:25 来自网页    ,0,喜欢吃肉但不长肉
早日康复,今天 17:25 来自网页    ,0,wwww用心
太可怕了,今天 17:25 来自网页    ,1,一条小哈哈的我
支持警方，以暴制暴,今天 17:25 来自网页    ,2,涵伯然
…,今天 17:25 来自网页    ,1,ummm中一
长大了，承受的多了，学会的也就多了！,今天 17:25 来自网页    ,0,张昀雪佳纯
有心,今天 17:25 来自网页    ,0,诡谲天下第一
祈祷,今天 17:25 来自网页    ,0,咕噜要笑
唉,今天 17:25 来自网页    ,1,盯着作业唱征服85774
杀光香港🐷 解放军应该用刺刀和大炮让香港🐷看看什么叫实力,今天 17:25 来自网页    ,1,冰蓝色Here
希望早日安稳,今天 17:25 来自网页    ,0,奶糖的微微
🙏🙏,今天 17:25 来自网页    ,0,阿华养的猪
好,今天 17:25 来自网页    ,0,我是一枝鱼
我的天啊，希望杨先生尽快好起来,今天 17:25 来自网页    ,0,燚燚-珍爱
可怕,今天 17:25 来自网页    ,1,y大傻哥
。,今天 17:25 来自网页    ,0,西琴琴1
有能力做背景甄别吗，不是我妄议政策，未成年那大多是黄的,今天 17:24 来自网页    ,1,德彪帕西诺
希望中央、香港政府、香港人民能进一步沟通以解决本质问题！,今天 17:24 来自网页    ,1,莲之舟
说杨先生是中国人就要打，这些人是连自己种都忘了,今天 17:22 来自网页    ,122,人总是要认清自己
说杨先生是中国人就要打，这些人是连自己种都忘了,今天 17:22 来自网页    ,122,人总是要认清自己
.........,今天 17:21 来自网页    ,1,驴友无驴
希望早日回复,今天 17:20 来自网页    ,1,自种农产品3
残忍,今天 17:20 来自网页    ,1,万年长一个
希望早日安稳,今天 17:20 来自网页    ,0,郭大曼吖
希望早日康复,今天 17:20 来自网页    ,0,奶糖的微微
爱你，么么哒,今天 17:20 来自网页    ,0,愿圆圆远
可怜,今天 17:20 来自网页    ,0,wwww用心
希望早日康复,今天 17:20 来自网页    ,0,奶糖的微微
爱你，么么哒,今天 17:20 来自网页    ,0,愿圆圆远
可怜,今天 17:20 来自网页    ,0,wwww用心
唉,今天 17:20 来自网页    ,0,y大傻哥
很有心,今天 17:20 来自网页    ,0,诡谲天下第一
支持警方，以暴制暴,今天 17:20 来自网页    ,0,涵伯然
太惨了,今天 17:20 来自网页    ,0,莱斯基卡曼
希望吧,今天 17:20 来自网页    ,0,福气宝宝要加油呀
快乐,今天 17:20 来自网页    ,1,浅暮201802
唉心疼,今天 17:20 来自网页    ,0,盯着作业唱征服85774
..,今天 17:20 来自网页    ,0,ummm中一
太可恶,今天 17:19 来自网页    ,0,Larissa_Liu烦
好好,今天 17:19 来自网页    ,2,米江奈奈
早日恢复,今天 17:19 来自网页    ,0,思念几万里70978
阿弥陀佛，愿早日康复,今天 17:19 来自网页    ,0,某人V
现在我也想说一句，现在的香港烂透了！希望我们的内地同胞不要去香港了！玛德！,今天 17:18 来自网页    ,0,一一大pp
无话可说，哈哈哈哈哈哈哈哈哈哈，真牛逼,今天 17:17 来自网页    ,1,阿拉可可的魔法城堡
顶顶，,今天 17:13 来自网页    ,0,埃及深海的吴邪A
有经济困难的话就发个慰问渠道吧，我们能做的也就是这些。香港让他们自己解决吧。,今天 17:13 来自网页    ,0,跃出海面的大鱼
这些暴徒真是不配为人！,今天 17:10 来自网页    ,0,五营十八组仙女狗尾巴花
转发微博,今天 17:08 来自网页    ,0,五尺尿痕
用尖勾那样子打头部，还是普通游行吗。这简直是叫在光明正大的杀人！！！！太没有良知了。,今天 17:06 来自网页    ,3,TFPU
太可怕了。,今天 17:03 来自网页    ,0,墨啊周啊力MAX
这些人真恶毒，怎么下去手的，恐怖分子是不是给洗脑了,今天 17:02 来自网页    ,0,仿佛昨天是今天
！！！！！,今天 16:50 来自网页    ,0,娱乐草根
香港，贴多少钱都不会去,今天 16:43 来自网页    ,0,我不撸铁
以后不会去香港了,今天 16:41 来自网页    ,82,练块的老土匪
什么时候能像对待新疆暴徒那样武力镇压，或者像古代那样抓起来流放，三千里、五千里，去边疆做苦力不好吗，留着他们也是吃闲饭，闹事,今天 16:35 来自网页    ,2,南风北至乁
天啊 来几个大v看看吧帮忙发一下,今天 16:31 来自网页    ,5,凤梨今天赚到钱了吗
可恶的爆头,今天 16:29 来自网页    ,0,不要问我你的谁
生而为人，为什么不能善良一点呢,今天 16:28 来自网页    ,0,禾禾木一
国家为啥还要美化香港，香港人大多数感觉都不爱国,今天 16:25 来自网页    ,393,蜗牛的断舍离日常
这他妈央视报道的什么玩意，怪不得香港问题大陆这么失败，整天报喜不报忧，麻醉人民群众，自欺欺人，这样下去迟早亡国,今天 16:12 来自网页    ,0,恩七超甜
图三那个大铁钩，这是杀人啊！,今天 16:07 来自网页    ,0,艾贤_Official
请给予相应的补偿和帮助！！！！！请把施暴者绳之以法。请给受害者一个交代！！！！,今天 16:06 来自网页    ,1,我是杨智贤
人家的目的达到了 可不就安稳了嘛,今天 16:04 来自网页    ,0,我看弱智青年妈牠就怀孕
保护自己，多看新闻,今天 16:00 来自网页    ,0,桔梗YOLO
恩,今天 15:42 来自网页    ,0,一路向前方法
长大了，承受的多了，学会的也就多了！,今天 15:39 来自网页    ,0,张昀雪佳纯
长大了，承受的多了，学会的也就多了！,今天 15:39 来自网页    ,0,张昀雪佳纯
祈祷,今天 15:39 来自网页    ,0,偶的筱
了解了,今天 15:39 来自网页    ,3,郭大曼吖
